company,headline,url,sponsor_match,sponsor_town,sponsor_rating
Kord,Kord secures £6.4m to process payments for regulated industries,https://www.uktech.news/fintech/kord-secures-6-4m-to-process-payments-for-regulated-industries-20260708,,,
Axle Energy,‘Virtual power plant’ firm Axle Energy raises £20m,https://www.uktech.news/energy/virtual-power-plant-firm-axle-energy-raises-20m-20260708,Axle Energy Ltd. ,London,Worker (A rating)
Fleek,Fleek raises £18.7m for its AI-native secondhand fashion marketplace,https://www.uktech.news/fashion-tech/fleek-raises-18-7m-for-its-ai-native-secondhand-fashion-marketplace-20260708,,,
Dogtooth,Cambridge AI robotics group Dogtooth scores £14m investment,https://www.uktech.news/agtech/cambridge-ai-robotics-group-dogtooth-scores-14m-investment-20260708,,,
TaiSan,TaiSan raises £4.65m to advance sodium-ion battery tech,https://www.uktech.news/energy/taisan-raises-4-65m-to-advance-sodium-ion-battery-tech-20260707,,,
HIVE,HIVE secures £11.2m to build ‘silicon brain’ for industrial machines,https://www.uktech.news/ai/hive-secures-11-2m-to-build-silicon-brain-for-industrial-machines-20260707,,,
Nscale,London hyperscaler Nscale secures £670m credit facility,https://www.uktech.news/ai/london-hyperscaler-nscale-secures-670m-credit-facility-20260707,,,
Stoa,Stoa raises £1.8m to scale cash management platform,https://www.uktech.news/fintech/stoa-raises-1-8m-to-scale-cash-management-platform-20260706,,,
Worldmodeldata,Worldmodeldata raises £7m to accelerate gaming data for AI training,https://www.uktech.news/funding/worldmodeldata-raises-7m-to-accelerate-gaming-data-for-ai-training-20260706,Worldmodeldata Limited,Cambridge,Worker (A rating)
geoSurge,AI search visibility startup geoSurge scores £9.4m round,https://www.uktech.news/ai/ai-search-visibility-startup-geosurge-scores-9-4m-round-20260703,GEOSURGE LIMITED,London,Worker (A rating)
StirlingX,StirlingX raises £15m to scale sovereign data intelligence platform,https://www.uktech.news/defence-tech/stirlingx-raises-15m-to-scale-sovereign-data-intelligence-platform-20260702,,,
Lucida AI,Lucida AI raises £5.3m to accelerate language coaching platform,https://www.uktech.news/education/lucida-ai-raises-5-3m-to-accelerate-language-coaching-platform-20260701,,,
Build,Build raises £6.4m to accelerate infrastructure projects with AI,https://www.uktech.news/ai/build-raises-6-4m-to-accelerate-infrastructure-projects-with-ai-20260701,,,
Neuronostics,Neuronostics raises £3m to advance biomarker platform for epilepsy,https://www.uktech.news/medtech/neuronostics-raises-3m-to-advance-biomarker-platform-for-epilepsy-20260630,Neuronostics Limited,Bristol,Worker (A rating)
Gaussion,Gaussion raises over £21m to scale its energy intelligence tech,https://www.uktech.news/deep-tech/gaussion-raises-over-21m-to-scale-its-energy-intelligence-tech-20260629,,,
Osney Capital,Osney Capital closes debut fund for cybersecurity startups at £60m,https://www.uktech.news/cybersecurity/osney-capital-closes-debut-fund-for-cybersecurity-startups-at-60m-20260629,,,
HR Duo,HR Duo secures £1.4m to scale and accelerate UK expansion,https://www.uktech.news/growth-strategy/hr/hr-duo-secures-1-4m-to-scale-and-accelerate-uk-expansion-20260625,,,
equipal,London fintech equipal secures £16m boost,https://www.uktech.news/fintech/london-fintech-equipal-secures-16m-boost-20260624,,,
Partly,Partly secures £38m and takes AI for the automotive sector to the US,https://www.uktech.news/ai/partly-secures-38m-to-take-ai-for-the-automotive-sector-to-the-us-20260624,Partly UK Limited,London,Worker (A rating)
Astral Systems,Astral Systems raises £23m to scale its nuclear fusion technology,https://www.uktech.news/deep-tech/astral-systems-raises-23m-to-scale-its-nuclear-fusion-technology-20260624,,,
Superlight,Superlight raises £15.9m to boost commercial EV truck manufacturing,https://www.uktech.news/ecommerce/superlight-raises-15-9m-to-boost-commercial-ev-truck-manufacturing-20260623,,,
Houdini Bio,Houdini Bio secures £1.5m to improve gene and cell therapies,https://www.uktech.news/medtech/houdini-bio-secures-1-5m-to-improve-gene-and-cell-therapies-20260622,,,
